,t,X (pixel),Y (pixel),X (nm),Y (nm),dr (nm),N1,N2,N3,N4,event,ex,ey,N_bound
0,0.0,1000,1000,3162.2776601683795,3162.2776601683795,0.0,55,1,0,0,1,992,998,1
1,0.012245226211962635,994,998,3143.303994207369,3155.9531048480426,20.000000000000004,55,2,0,0,1,996,1005,2
2,0.41399126023546495,997,999,3152.7908271878746,3159.115382508211,10.000000000000002,55,3,0,0,1,994,1005,3
3,0.44074994013326874,996,1000,3149.628549527706,3162.2776601683795,4.47213595499958,54,2,1,0,2,996,1005,3
4,0.45816767435370975,992,1002,3136.9794388870323,3168.6022154887164,14.142135623730953,51,3,1,0,1,997,1002,4
5,0.6860388528637955,990,1003,3130.654883566696,3171.764493148885,7.071067811865476,53,4,1,0,1,992,1009,5
6,0.7311480282442238,992,1005,3136.9794388870323,3178.0890484692213,8.94427190999916,54,5,1,0,1,994,1001,6
7,0.7402303137555597,996,1003,3149.628549527706,3171.764493148885,14.142135623730953,49,5,0,1,3,996,1005,5
8,0.7690083323188583,992,1001,3136.9794388870323,3165.439937828548,14.142135623730953,47,6,0,1,1,991,996,6
9,0.8529063023597854,991,1004,3133.8171612268643,3174.926770809053,10.000000000000002,49,7,0,1,1,987,1008,7
10,0.9374624071940305,990,1003,3130.654883566696,3171.764493148885,4.47213595499958,49,8,0,1,1,994,1006,8
11,1.0965427215964878,989,1002,3127.4926059065274,3168.6022154887164,4.47213595499958,47,9,0,1,1,983,999,9
12,1.161490798829423,990,1002,3130.654883566696,3168.6022154887164,3.1622776601683795,48,10,0,1,1,989,1003,10
13,1.269010846921946,990,1002,3130.654883566696,3168.6022154887164,0.0,47,11,0,1,1,990,1002,11
14,1.3102864566361978,990,1002,3130.654883566696,3168.6022154887164,0.0,46,12,0,1,1,983,1004,12
15,1.6317921805982962,989,1002,3127.4926059065274,3168.6022154887164,3.1622776601683795,43,13,0,1,1,990,1005,13
16,1.808113752213044,990,1002,3130.654883566696,3168.6022154887164,3.1622776601683795,44,14,0,1,1,989,996,14
17,1.9427677314422656,989,1002,3127.4926059065274,3168.6022154887164,3.1622776601683795,41,15,0,1,1,991,998,15
18,1.9672277247868475,989,1002,3127.4926059065274,3168.6022154887164,0.0,40,16,0,1,1,988,996,16
19,2.1173993398023225,989,1002,3127.4926059065274,3168.6022154887164,0.0,39,17,0,1,1,987,1000,17
20,2.3216776963901857,989,1002,3127.4926059065274,3168.6022154887164,0.0,38,18,0,1,1,982,1004,18
21,2.447500006191238,989,1002,3127.4926059065274,3168.6022154887164,0.0,37,19,0,1,1,988,1007,19
22,2.5978344896693777,989,1002,3127.4926059065274,3168.6022154887164,0.0,36,20,0,1,1,981,1003,20
23,2.698274285518554,989,1002,3127.4926059065274,3168.6022154887164,0.0,35,21,0,1,1,986,1009,21
24,2.8837349821793414,989,1002,3127.4926059065274,3168.6022154887164,0.0,34,22,0,1,1,982,1007,22
25,2.9837016950024107,989,1002,3127.4926059065274,3168.6022154887164,0.0,33,23,0,1,1,989,1009,23
26,2.989876061644546,989,1002,3127.4926059065274,3168.6022154887164,0.0,32,24,0,1,1,992,1004,24
