,t,X (pixel),Y (pixel),X (nm),Y (nm),dr (nm),N1,N2,N3,N4,event,ex,ey,N_bound
0,0.0,1000,1000,3162.2776601683795,3162.2776601683795,0.0,48,1,0,0,1,992,997,1
1,0.004931358658464899,996,996,3149.628549527706,3149.628549527706,17.88854381999832,51,2,0,0,1,992,1001,2
2,0.04439808111852701,992,1003,3136.9794388870323,3171.764493148885,25.495097567963924,41,3,0,0,1,991,1000,3
3,0.1320400784728752,986,1002,3118.005772926022,3168.6022154887164,19.235384061671343,43,4,0,0,1,985,1008,4
4,0.4745252629963604,987,1003,3121.1680505861905,3171.764493148885,4.47213595499958,44,5,0,0,1,987,1006,5
5,0.48416357794635834,987,1002,3121.1680505861905,3168.6022154887164,3.1622776601683795,46,6,0,0,1,988,1000,6
6,0.5755355971697486,985,1000,3114.843495265854,3162.2776601683795,8.94427190999916,42,7,0,0,1,981,1002,7
7,0.6973379620427369,985,1000,3114.843495265854,3162.2776601683795,0.0,41,8,0,0,1,981,1003,8
8,0.9633476592242829,988,1002,3124.330328246359,3168.6022154887164,11.40175425099138,39,9,0,0,1,990,997,9
9,0.9915793499689599,988,1001,3124.330328246359,3165.439937828548,3.1622776601683795,41,10,0,0,1,995,1000,10
10,1.0259142579097966,988,1003,3124.330328246359,3171.764493148885,6.324555320336759,34,11,0,0,1,992,1007,11
11,1.1363220132756024,988,1002,3124.330328246359,3168.6022154887164,3.1622776601683795,37,10,1,0,2,981,1002,11
12,1.2430942155513423,989,1003,3127.4926059065274,3171.764493148885,4.47213595499958,37,10,0,1,3,981,1002,10
13,1.2964627964259452,988,1003,3124.330328246359,3171.764493148885,3.1622776601683795,33,11,0,1,1,981,1006,11
14,1.3720714243816796,988,1003,3124.330328246359,3171.764493148885,0.0,32,12,0,1,1,987,1011,12
15,1.5891771684870821,988,1003,3124.330328246359,3171.764493148885,0.0,31,13,0,1,1,989,1005,13
16,1.6598420176026107,988,1003,3124.330328246359,3171.764493148885,0.0,30,14,0,1,1,983,1003,14
17,1.7116141130042308,988,1003,3124.330328246359,3171.764493148885,0.0,29,15,0,1,1,995,1004,15
18,1.7686250859830002,988,1003,3124.330328246359,3171.764493148885,0.0,28,16,0,1,1,983,1002,16
19,1.9181558451048402,988,1003,3124.330328246359,3171.764493148885,0.0,27,17,0,1,1,981,1000,17
20,1.9379467465309044,988,1003,3124.330328246359,3171.764493148885,0.0,27,16,1,1,2,987,1011,17
21,1.9388601293124381,988,1003,3124.330328246359,3171.764493148885,0.0,26,17,1,1,1,994,1004,18
22,1.9677303897939429,988,1003,3124.330328246359,3171.764493148885,0.0,25,18,1,1,1,990,1000,19
23,2.0559461515757063,988,1003,3124.330328246359,3171.764493148885,0.0,25,18,0,2,3,987,1011,18
24,2.1774658939490736,988,1003,3124.330328246359,3171.764493148885,0.0,24,19,0,2,1,993,1009,19
25,2.210331009345404,988,1003,3124.330328246359,3171.764493148885,0.0,24,18,1,2,2,992,1001,19
26,2.2658218482697596,988,1003,3124.330328246359,3171.764493148885,0.0,23,19,1,2,1,984,999,20
27,2.4215478308202165,988,1003,3124.330328246359,3171.764493148885,0.0,22,20,1,2,1,994,1002,21
28,2.548296570659975,988,1003,3124.330328246359,3171.764493148885,0.0,22,19,2,2,2,981,1003,21
29,2.658396438295255,988,1003,3124.330328246359,3171.764493148885,0.0,22,19,1,3,3,992,1001,20
30,2.6625990464294294,988,1003,3124.330328246359,3171.764493148885,0.0,21,20,1,3,1,983,996,21
31,2.7547651468293526,988,1003,3124.330328246359,3171.764493148885,0.0,20,21,1,3,1,994,1008,22
32,3.2761933514582666,988,1003,3124.330328246359,3171.764493148885,0.0,19,22,1,3,1,986,1001,23
33,3.305026998307695,988,1003,3124.330328246359,3171.764493148885,0.0,19,22,0,4,3,981,1003,22
34,3.6068985168300447,988,1003,3124.330328246359,3171.764493148885,0.0,18,23,0,4,1,985,996,23
