,t,X (pixel),Y (pixel),X (nm),Y (nm),dr (nm),N1,N2,N3,N4,event,ex,ey,N_bound
0,0.0,1000,1000,3162.2776601683795,3162.2776601683795,0.0,53,1,0,0,1,992,997,1
1,0.03734203814886634,989,995,3127.4926059065274,3146.4662718675377,38.209946349085605,47,2,0,0,1,996,993,2
2,0.07484645381822164,991,993,3133.8171612268643,3140.1417165472008,8.94427190999916,48,3,0,0,1,987,996,3
3,0.2133413046515219,989,992,3127.4926059065274,3136.9794388870323,7.071067811865476,45,4,0,0,1,989,994,4
4,0.26543277263799364,990,994,3130.654883566696,3143.303994207369,7.071067811865476,44,5,0,0,1,984,993,5
5,0.32325323416484675,992,993,3136.9794388870323,3140.1417165472008,7.071067811865476,46,6,0,0,1,990,986,6
6,0.37410315206574835,989,993,3127.4926059065274,3140.1417165472008,9.486832980505138,43,7,0,0,1,993,999,7
7,0.4630402646549709,990,992,3130.654883566696,3136.9794388870323,4.47213595499958,41,8,0,0,1,991,993,8
8,0.4666392878164112,992,993,3136.9794388870323,3140.1417165472008,7.071067811865476,43,9,0,0,1,994,994,9
9,0.9007808435493373,992,993,3136.9794388870323,3140.1417165472008,0.0,42,10,0,0,1,995,1001,10
10,0.9868530905602898,992,993,3136.9794388870323,3140.1417165472008,0.0,41,11,0,0,1,987,998,11
11,1.1578584402892356,992,993,3136.9794388870323,3140.1417165472008,0.0,40,12,0,0,1,988,988,12
12,1.2243774681143131,992,993,3136.9794388870323,3140.1417165472008,0.0,39,13,0,0,1,995,998,13
13,1.2660303287160297,992,993,3136.9794388870323,3140.1417165472008,0.0,38,14,0,0,1,990,993,14
14,1.6002465462126767,992,993,3136.9794388870323,3140.1417165472008,0.0,37,15,0,0,1,991,987,15
15,1.6156455209065559,992,993,3136.9794388870323,3140.1417165472008,0.0,36,16,0,0,1,997,991,16
16,1.6410240660721813,992,993,3136.9794388870323,3140.1417165472008,0.0,35,17,0,0,1,998,996,17
17,1.890366261329807,992,993,3136.9794388870323,3140.1417165472008,0.0,34,18,0,0,1,997,998,18
18,2.0393161207328743,992,993,3136.9794388870323,3140.1417165472008,0.0,33,19,0,0,1,997,988,19
19,2.165692369479127,992,993,3136.9794388870323,3140.1417165472008,0.0,32,20,0,0,1,999,998,20
20,2.2937216003695906,992,993,3136.9794388870323,3140.1417165472008,0.0,32,19,1,0,2,990,986,20
21,2.327167864353174,992,993,3136.9794388870323,3140.1417165472008,0.0,31,20,1,0,1,989,989,21
22,2.35687991131868,992,993,3136.9794388870323,3140.1417165472008,0.0,30,21,1,0,1,988,997,22
23,2.3725114343410034,992,993,3136.9794388870323,3140.1417165472008,0.0,29,22,1,0,1,987,992,23
24,2.3815536052576016,992,993,3136.9794388870323,3140.1417165472008,0.0,28,23,1,0,1,998,998,24
25,2.482636538243752,992,993,3136.9794388870323,3140.1417165472008,0.0,27,24,1,0,1,994,985,25
26,2.5274047154621204,992,993,3136.9794388870323,3140.1417165472008,0.0,27,24,0,1,3,990,986,24
27,2.5722075338427217,992,993,3136.9794388870323,3140.1417165472008,0.0,26,25,0,1,1,996,992,25
28,2.9026499972757054,992,993,3136.9794388870323,3140.1417165472008,0.0,25,26,0,1,1,990,987,26
29,2.970503280017469,992,993,3136.9794388870323,3140.1417165472008,0.0,24,27,0,1,1,995,987,27
30,2.9790480423952754,992,993,3136.9794388870323,3140.1417165472008,0.0,23,28,0,1,1,997,996,28
31,3.0539524505054905,992,993,3136.9794388870323,3140.1417165472008,0.0,22,29,0,1,1,996,987,29
32,3.2142741511222312,992,993,3136.9794388870323,3140.1417165472008,0.0,21,30,0,1,1,990,985,30
33,3.648719889305709,992,993,3136.9794388870323,3140.1417165472008,0.0,21,29,1,1,2,987,992,30
34,3.681996358488495,992,993,3136.9794388870323,3140.1417165472008,0.0,21,29,0,2,3,987,992,29
35,3.7629553141542975,992,993,3136.9794388870323,3140.1417165472008,0.0,20,30,0,2,1,989,987,30
36,3.814236171750558,992,993,3136.9794388870323,3140.1417165472008,0.0,19,31,0,2,1,985,989,31
37,3.8281993447044274,992,993,3136.9794388870323,3140.1417165472008,0.0,18,32,0,2,1,993,990,32
38,4.426153821951804,992,993,3136.9794388870323,3140.1417165472008,0.0,18,31,1,2,2,985,989,32
39,4.557269896583587,992,993,3136.9794388870323,3140.1417165472008,0.0,17,32,1,2,1,987,989,33
40,4.57295819314155,992,993,3136.9794388870323,3140.1417165472008,0.0,17,31,2,2,2,996,993,33
41,4.869898483948532,992,993,3136.9794388870323,3140.1417165472008,0.0,17,31,1,3,3,996,993,32
42,4.961859414321207,992,993,3136.9794388870323,3140.1417165472008,0.0,16,32,1,3,1,1000,990,33
43,4.992509215775619,992,993,3136.9794388870323,3140.1417165472008,0.0,16,32,0,4,3,985,989,32
44,5.18489900913205,992,993,3136.9794388870323,3140.1417165472008,0.0,15,33,0,4,1,999,989,33
45,5.521131046007805,992,993,3136.9794388870323,3140.1417165472008,0.0,14,34,0,4,1,998,995,34
46,5.966569255660448,992,993,3136.9794388870323,3140.1417165472008,0.0,13,35,0,4,1,997,999,35
47,6.128885525189129,992,993,3136.9794388870323,3140.1417165472008,0.0,12,36,0,4,1,991,996,36
48,6.1937956337368,992,993,3136.9794388870323,3140.1417165472008,0.0,11,37,0,4,1,988,992,37
49,6.92166133050525,992,993,3136.9794388870323,3140.1417165472008,0.0,11,36,1,4,2,993,990,37
50,7.039384047963781,992,993,3136.9794388870323,3140.1417165472008,0.0,10,37,1,4,1,989,995,38
51,7.113253751647258,992,993,3136.9794388870323,3140.1417165472008,0.0,10,37,0,5,3,993,990,37
52,7.267950132635343,992,993,3136.9794388870323,3140.1417165472008,0.0,9,38,0,5,1,994,1000,38
53,7.832207577190249,992,993,3136.9794388870323,3140.1417165472008,0.0,8,39,0,5,1,990,998,39
54,8.165968441805216,992,993,3136.9794388870323,3140.1417165472008,0.0,8,38,1,5,2,995,987,39
55,8.394476223662489,992,993,3136.9794388870323,3140.1417165472008,0.0,8,38,0,6,3,995,987,38
56,8.63389671090035,992,993,3136.9794388870323,3140.1417165472008,0.0,7,39,0,6,1,992,994,39
57,8.777098198801683,992,993,3136.9794388870323,3140.1417165472008,0.0,7,38,1,6,2,997,991,39
58,8.840588792926088,992,993,3136.9794388870323,3140.1417165472008,0.0,6,39,1,6,1,998,990,40
59,9.9717922337377,992,993,3136.9794388870323,3140.1417165472008,0.0,6,38,2,6,2,995,998,40
60,9.98606432535683,992,993,3136.9794388870323,3140.1417165472008,0.0,6,38,1,7,3,995,998,39
61,10.273181478232758,992,993,3136.9794388870323,3140.1417165472008,0.0,6,37,2,7,2,991,987,39
62,10.364623879913704,992,993,3136.9794388870323,3140.1417165472008,0.0,6,37,1,8,3,991,987,38
63,10.529083182063319,992,993,3136.9794388870323,3140.1417165472008,0.0,6,37,0,9,3,997,991,37
64,10.904628361559865,992,993,3136.9794388870323,3140.1417165472008,0.0,6,36,1,9,2,997,999,37
65,11.009562843616976,992,993,3136.9794388870323,3140.1417165472008,0.0,5,37,1,9,1,999,997,38
66,11.09285189743044,992,993,3136.9794388870323,3140.1417165472008,0.0,5,37,0,10,3,997,999,37
